dev_num,ok_count,fail_count,error
860377052301596,150,0,
860377052302610,150,0,
860377052324770,150,0,
860377052306249,150,0,
860377052302545,150,0,
860377052090819,150,0,
00000000201FFF9,150,0,
860377052301687,150,0,
860377051924471,150,0,
863659048059801,150,0,
860377052321750,150,0,
860377052304822,150,0,
863659048058928,150,0,
848872DC23B0944,150,0,
863659048109549,150,0,
863659048282411,150,0,
863659048115447,150,0,
863659048110463,150,0,
863659048103906,150,0,
863659048103955,150,0,
863659048103757,150,0,
860377052333524,150,0,
860377052342632,150,0,
860377052321701,150,0,
860377052090280,150,0,
000000060160511,150,0,
860377052306140,150,0,
860377052305787,150,0,
860377052321990,150,0,
000000060160513,150,0,
