dev_num,ok_count,fail_count,error
860377052301596,180,0,
860377052302610,180,0,
860377052324770,180,0,
860377052306249,180,0,
860377052302545,180,0,
860377052090819,180,0,
00000000201FFF9,180,0,
860377052301687,180,0,
860377051924471,180,0,
863659048059801,180,0,
860377052321750,180,0,
860377052304822,180,0,
863659048058928,180,0,
848872DC23B0944,180,0,
863659048109549,180,0,
863659048282411,180,0,
863659048115447,180,0,
863659048110463,180,0,
863659048103906,180,0,
863659048103955,180,0,
863659048103757,180,0,
860377052333524,180,0,
860377052342632,180,0,
860377052321701,180,0,
860377052090280,180,0,
000000060160511,180,0,
860377052306140,180,0,
860377052305787,180,0,
860377052321990,180,0,
000000060160513,180,0,
000000080165517,180,0,
860377052331346,180,0,
860377052334621,180,0,
860377052321362,180,0,
860377052334894,180,0,
860377052090934,180,0,
863659048110604,180,0,
860377052320943,180,0,
863659048104052,180,0,
000000060160516,180,0,
