file,window_id,start_time,end_time,window_center_time,class_label,expected_family,transition_phase,mean_dT,mean_dAH,delta_half_in_hum,delta_half_dAH,slope_in_temp,slope_AH_in,hole_time
2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,W0001,2026-03-04 12:00:00,2026-03-05 00:00:00,2026-03-04 18:00:00,外部高湿驱动工况,transition_run,near_transition,0.08008368200836828,-4.3262933811677105,1.1434646986508241,-0.13496154960175755,-0.06088788348053313,-0.003311980642812818,2026-03-04 16:39:09
2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,W0002,2026-03-04 13:00:00,2026-03-05 01:00:00,2026-03-04 19:00:00,外部高湿驱动工况,transition_run,near_transition,0.025550906555090746,-4.362791006890307,1.0199716001929602,-0.010082911481363865,-0.04065438254928684,0.003389567749364122,2026-03-04 16:39:09
2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,W0003,2026-03-04 14:00:00,2026-03-05 02:00:00,2026-03-04 20:00:00,外部高湿驱动工况,transition_run,near_transition,0.00843575418994422,-4.370463396220957,0.9325418994413397,0.06569293750553484,-0.04309552520777689,0.0010619083115845254,2026-03-04 16:39:09
2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,W0004,2026-03-04 15:00:00,2026-03-05 03:00:00,2026-03-04 21:00:00,外部高湿驱动工况,transition_run,near_transition,0.009009762900976367,-4.362115961772096,0.8531638941193123,0.11847903203733257,-0.05363128633869223,-0.004821664379606352,2026-03-04 16:39:09
2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,W0005,2026-03-04 16:00:00,2026-03-05 04:00:00,2026-03-04 22:00:00,外部高湿驱动工况,transition_run,near_transition,0.015509065550906595,-4.343939609889697,0.7688138217581582,0.14201213184226447,-0.06504373629075313,-0.011667600642061635,2026-03-04 16:39:09
2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,W0006,2026-03-04 17:00:00,2026-03-05 05:00:00,2026-03-04 23:00:00,外部高湿驱动工况,transition_run,post_transition,0.0158831710709319,-4.328051323958234,0.6907248529867047,0.16005294190090602,-0.07513929070315394,-0.018337753104233794,2026-03-04 16:39:09
2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,W0007,2026-03-04 18:00:00,2026-03-05 06:00:00,2026-03-05 00:00:00,外部高湿驱动工况,transition_run,post_transition,0.018066759388039,-4.310548585117063,0.6543676880222904,0.16672310421919878,-0.08631773751965963,-0.024232113651329424,2026-03-04 16:39:09
2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,W0008,2026-03-04 19:00:00,2026-03-05 07:00:00,2026-03-05 01:00:00,外部高湿驱动工况,transition_run,post_transition,0.0238247566063978,-4.288349179393925,0.6327276385020184,0.16013463623753044,-0.09428067073684533,-0.028245145395602373,2026-03-04 16:39:09
2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,W0009,2026-03-04 20:00:00,2026-03-05 08:00:00,2026-03-05 02:00:00,外部高湿驱动工况,transition_run,post_transition,0.02938803894297636,-4.2636827300170905,0.6168615753636644,0.14838831771087868,-0.09733106817626945,-0.02995364249551477,2026-03-04 16:39:09
2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,W0010,2026-03-04 21:00:00,2026-03-05 09:00:00,2026-03-05 03:00:00,外部高湿驱动工况,transition_run,post_transition,0.033087621696801114,-4.238240000103374,0.6041185391519548,0.12925835883647263,-0.09582577640916684,-0.029450419893902503,2026-03-04 16:39:09
2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,W0011,2026-03-04 22:00:00,2026-03-05 10:00:00,2026-03-05 04:00:00,外部高湿驱动工况,transition_run,post_transition,0.031321279554937395,-4.2165952298668135,0.5889037449705938,0.11271792213727938,-0.09039789749273508,-0.027280996215493968,2026-03-04 16:39:09
